exchange,source,target,value
Southern,Grassland (past),Riparian (present),1041148.254
Southern,Grassland (past),Shrubland (present),92925.204
Southern,Hardwood (past),Agricultural (present),9039166.452
Southern,Hardwood (past),Conifer (present),14108849.92
Southern,Hardwood (past),Conifer-Hardwood (present),7492787.046
Southern,Hardwood (past),Developed (present),10931599.46
Southern,Hardwood (past),Exotics (present),1436046.294
Southern,Hardwood (past),Grassland (present),1116456.204
Southern,Hardwood (past),Hardwood (present),10426493.96
Southern,Hardwood (past),Riparian (present),2583968.112
Southern,Hardwood (past),Shrubland (present),207649.92
Southern,Hardwood-Conifer (past),Agricultural (present),6086336.46
Southern,Hardwood-Conifer (past),Conifer (present),13748412.05
Southern,Hardwood-Conifer (past),Conifer-Hardwood (present),5378808.03
Southern,Hardwood-Conifer (past),Developed (present),10002542.33
Southern,Hardwood-Conifer (past),Exotics (present),1044067.332
Southern,Hardwood-Conifer (past),Grassland (present),1219886.004
Southern,Hardwood-Conifer (past),Hardwood (present),7171833.654
Southern,Hardwood-Conifer (past),Riparian (present),577208.436
Southern,Hardwood-Conifer (past),Shrubland (present),211571.328
Southern,Riparian (past),Agricultural (present),18133190.44
Southern,Riparian (past),Conifer (present),16124307.55
Southern,Riparian (past),Conifer-Hardwood (present),6023785.296
Southern,Riparian (past),Developed (present),13159835.21
Southern,Riparian (past),Exotics (present),2480452.398
Southern,Riparian (past),Grassland (present),1438974.474
Southern,Riparian (past),Hardwood (present),3954107.934
Southern,Riparian (past),Riparian (present),38549541.43
Southern,Riparian (past),Shrubland (present),450085.908
Southern,Savanna (past),Agricultural (present),51792.6
Southern,Savanna (past),Conifer (present),116907.198
Southern,Savanna (past),Conifer-Hardwood (present),8554.77
Southern,Savanna (past),Developed (present),127830.708
Southern,Savanna (past),Exotics (present),12672.204
Southern,Savanna (past),Grassland (present),3988.008
Southern,Savanna (past),Hardwood (present),21331.98
Southern,Savanna (past),Riparian (present),141404.01
Southern,Savanna (past),Shrubland (present),1546.674
Southern,Shrubland (past),Agricultural (present),727698.906
Southern,Shrubland (past),Conifer (present),76440.594
Southern,Shrubland (past),Conifer-Hardwood (present),4830.054
Southern,Shrubland (past),Developed (present),362450.076
Southern,Shrubland (past),Exotics (present),334520.256
Southern,Shrubland (past),Grassland (present),17644.56
Southern,Shrubland (past),Hardwood (present),124595.28
Southern,Shrubland (past),Riparian (present),36385.578
Southern,Shrubland (past),Shrubland (present),56400.21
Southern Rockies,Conifer (past),Agricultural (present),157983.858
Southern Rockies,Conifer (past),Conifer (present),13811060.67
Southern Rockies,Conifer (past),Conifer-Hardwood (present),94213.692
Southern Rockies,Conifer (past),Developed (present),152552.406
Southern Rockies,Conifer (past),Exotics (present),158924.25
Southern Rockies,Conifer (past),Grassland (present),625291.194
Southern Rockies,Conifer (past),Hardwood (present),456505.26
Southern Rockies,Conifer (past),Riparian (present),181290.75
Southern Rockies,Conifer (past),Shrubland (present),2380810.806
Southern Rockies,Grassland (past),Agricultural (present),415494.312
Southern Rockies,Grassland (past),Conifer (present),482768.526
Southern Rockies,Grassland (past),Conifer-Hardwood (present),1283.826
Southern Rockies,Grassland (past),Developed (present),137098.32
Southern Rockies,Grassland (past),Exotics (present),275267.79
Southern Rockies,Grassland (past),Grassland (present),3240034.722
Southern Rockies,Grassland (past),Hardwood (present),15289.14
Southern Rockies,Grassland (past),Riparian (present),99351.66
Southern Rockies,Grassland (past),Shrubland (present),1082719.53
Southern Rockies,Hardwood (past),Agricultural (present),37998.63
Southern Rockies,Hardwood (past),Conifer (present),520070.964
Southern Rockies,Hardwood (past),Conifer-Hardwood (present),52633.536
Southern Rockies,Hardwood (past),Developed (present),17219.652
Southern Rockies,Hardwood (past),Exotics (present),37712.028
Southern Rockies,Hardwood (past),Grassland (present),110674.104
Southern Rockies,Hardwood (past),Hardwood (present),976883.028
Southern Rockies,Hardwood (past),Riparian (present),45139.26
Southern Rockies,Hardwood (past),Shrubland (present),477104.196
Southern Rockies,Hardwood-Conifer (past),Agricultural (present),7124.424
Southern Rockies,Hardwood-Conifer (past),Conifer (present),1810562.514
Southern Rockies,Hardwood-Conifer (past),Conifer-Hardwood (present),164605.452
Southern Rockies,Hardwood-Conifer (past),Developed (present),16705.944
Southern Rockies,Hardwood-Conifer (past),Exotics (present),19701.834
Southern Rockies,Hardwood-Conifer (past),Grassland (present),156981.306
Southern Rockies,Hardwood-Conifer (past),Hardwood (present),1315118.676
Southern Rockies,Hardwood-Conifer (past),Riparian (present),25886.088
Southern Rockies,Hardwood-Conifer (past),Shrubland (present),288583.35
Southern Rockies,Riparian (past),Agricultural (present),769051.512
Southern Rockies,Riparian (past),Conifer (present),680436.882
Southern Rockies,Riparian (past),Conifer-Hardwood (present),15212.994
Southern Rockies,Riparian (past),Developed (present),127405.356
Southern Rockies,Riparian (past),Exotics (present),107621.826
Southern Rockies,Riparian (past),Grassland (present),373144.482
Southern Rockies,Riparian (past),Hardwood (present),123235.086
Southern Rockies,Riparian (past),Riparian (present),881819.742
Southern Rockies,Riparian (past),Shrubland (present),928193.1
Southern Rockies,Shrubland (past),Agricultural (present),1772186.04
Southern Rockies,Shrubland (past),Conifer (present),3153579.708
Southern Rockies,Shrubland (past),Conifer-Hardwood (present),8268.39
Southern Rockies,Shrubland (past),Developed (present),471560.19
Southern Rockies,Shrubland (past),Exotics (present),1067599.554
Southern Rockies,Shrubland (past),Grassland (present),1250798.172
Southern Rockies,Shrubland (past),Hardwood (present),380253.81
Southern Rockies,Shrubland (past),Riparian (present),426530.598
Southern Rockies,Shrubland (past),Shrubland (present),26697102.62
Southwest,Conifer (past),Agricultural (present),36363.822
Southwest,Conifer (past),Conifer (present),20267418.07
Southwest,Conifer (past),Conifer-Hardwood (present),1835057.772
Southwest,Conifer (past),Developed (present),277315.074
Southwest,Conifer (past),Exotics (present),255677.622
Southwest,Conifer (past),Grassland (present),2235864.12
Southwest,Conifer (past),Hardwood (present),120391.488
Southwest,Conifer (past),Riparian (present),43766.856
Southwest,Conifer (past),Shrubland (present),6193753.158
Southwest,Grassland (past),Agricultural (present),2606208.294
Southwest,Grassland (past),Conifer (present),1525579.116
Southwest,Grassland (past),Conifer-Hardwood (present),80650.824
Southwest,Grassland (past),Developed (present),1026551.532
Southwest,Grassland (past),Exotics (present),4885960.26
Southwest,Grassland (past),Grassland (present),17561953.58
Southwest,Grassland (past),Hardwood (present),5261.4
Southwest,Grassland (past),Riparian (present),283660.056
Southwest,Grassland (past),Shrubland (present),26989295.69
Southwest,Hardwood (past),Agricultural (present),409.812
Southwest,Hardwood (past),Conifer (present),71310.174
Southwest,Hardwood (past),Conifer-Hardwood (present),2826.948
Southwest,Hardwood (past),Developed (present),582.972
Southwest,Hardwood (past),Exotics (present),1803.084
Southwest,Hardwood (past),Grassland (present),11082.24
Southwest,Hardwood (past),Hardwood (present),24329.424
Southwest,Hardwood (past),Riparian (present),5479.182
Southwest,Hardwood (past),Shrubland (present),21798.624
Southwest,Hardwood-Conifer (past),Agricultural (present),436.674
Southwest,Hardwood-Conifer (past),Conifer (present),638748.834
Southwest,Hardwood-Conifer (past),Conifer-Hardwood (present),49443.84
Southwest,Hardwood-Conifer (past),Developed (present),2671.77
Southwest,Hardwood-Conifer (past),Exotics (present),4993.668
Southwest,Hardwood-Conifer (past),Grassland (present),58723.662
Southwest,Hardwood-Conifer (past),Hardwood (present),161171.334
Southwest,Hardwood-Conifer (past),Riparian (present),5382.168
Southwest,Hardwood-Conifer (past),Shrubland (present),67214.274
Southwest,Riparian (past),Agricultural (present),404614.092
Southwest,Riparian (past),Conifer (present),1618165.548
Southwest,Riparian (past),Conifer-Hardwood (present),140693.832
Southwest,Riparian (past),Developed (present),302142.444
Southwest,Riparian (past),Exotics (present),265065.558
Southwest,Riparian (past),Grassland (present),376381.464
Southwest,Riparian (past),Hardwood (present),10322.334
Southwest,Riparian (past),Riparian (present),761986.14
Southwest,Riparian (past),Shrubland (present),2205912.324
Southwest,Shrubland (past),Agricultural (present),1502973.744
Southwest,Shrubland (past),Conifer (present),8186143.218
Southwest,Shrubland (past),Conifer-Hardwood (present),315670.458
Southwest,Shrubland (past),Developed (present),2235220.542
Southwest,Shrubland (past),Exotics (present),3403349.91
Southwest,Shrubland (past),Grassland (present),5358997.638
Southwest,Shrubland (past),Hardwood (present),17345.748
Southwest,Shrubland (past),Riparian (present),312461.226
Southwest,Shrubland (past),Shrubland (present),58285357.19
Tallgrass Prairie,Conifer (past),Agricultural (present),43536.198
Tallgrass Prairie,Conifer (past),Conifer (present),1469.196
Tallgrass Prairie,Conifer (past),Conifer-Hardwood (present),2020.2
Tallgrass Prairie,Conifer (past),Developed (present),8203.788
Tallgrass Prairie,Conifer (past),Exotics (present),5990.226
Tallgrass Prairie,Conifer (past),Grassland (present),3783.99
Tallgrass Prairie,Conifer (past),Hardwood (present),47313.306
Tallgrass Prairie,Conifer (past),Riparian (present),36955.452
Tallgrass Prairie,Conifer (past),Shrubland (present),731.046
Tallgrass Prairie,Grassland (past),Agricultural (present),78771973.18
Tallgrass Prairie,Grassland (past),Conifer (present),25595.934
Tallgrass Prairie,Grassland (past),Conifer-Hardwood (present),771829.176
Tallgrass Prairie,Grassland (past),Developed (present),8356604.586
Tallgrass Prairie,Grassland (past),Exotics (present),4462810.722
Tallgrass Prairie,Grassland (past),Grassland (present),2757060.624
Tallgrass Prairie,Grassland (past),Hardwood (present),3828766.29
Tallgrass Prairie,Grassland (past),Riparian (present),1723189.308
Tallgrass Prairie,Grassland (past),Shrubland (present),3986.232
Tallgrass Prairie,Hardwood (past),Agricultural (present),40053069.5
Tallgrass Prairie,Hardwood (past),Conifer (present),301163.202
Tallgrass Prairie,Hardwood (past),Conifer-Hardwood (present),1223766.564
Tallgrass Prairie,Hardwood (past),Developed (present),11083626.83
Tallgrass Prairie,Hardwood (past),Exotics (present),2663543.568
Tallgrass Prairie,Hardwood (past),Grassland (present),301751.058
Tallgrass Prairie,Hardwood (past),Hardwood (present),9893631.132
Tallgrass Prairie,Hardwood (past),Riparian (present),1180057.65
Tallgrass Prairie,Hardwood (past),Shrubland (present),4638.246
Tallgrass Prairie,Hardwood-Conifer (past),Agricultural (present),909168.366
Tallgrass Prairie,Hardwood-Conifer (past),Conifer (present),186442.482
Tallgrass Prairie,Hardwood-Conifer (past),Conifer-Hardwood (present),203120.898
Tallgrass Prairie,Hardwood-Conifer (past),Developed (present),312320.034
Tallgrass Prairie,Hardwood-Conifer (past),Exotics (present),145758.984
Tallgrass Prairie,Hardwood-Conifer (past),Grassland (present),18469.29
Tallgrass Prairie,Hardwood-Conifer (past),Hardwood (present),1130724.366
Tallgrass Prairie,Hardwood-Conifer (past),Riparian (present),179355.576
Tallgrass Prairie,Hardwood-Conifer (past),Shrubland (present),1331.556
Tallgrass Prairie,Riparian (past),Agricultural (present),7112533.902
Tallgrass Prairie,Riparian (past),Conifer (present),58852.2
Tallgrass Prairie,Riparian (past),Conifer-Hardwood (present),161188.65
Tallgrass Prairie,Riparian (past),Developed (present),1288268.442
Tallgrass Prairie,Riparian (past),Exotics (present),752325.81
Tallgrass Prairie,Riparian (past),Grassland (present),229191.468
Tallgrass Prairie,Riparian (past),Hardwood (present),1322726.616
Tallgrass Prairie,Riparian (past),Riparian (present),4379042.796
Tallgrass Prairie,Riparian (past),Shrubland (present),3466.752
Tallgrass Prairie,Shrubland (past),Agricultural (present),277554.612
Tallgrass Prairie,Shrubland (past),Conifer (present),23.088
Tallgrass Prairie,Shrubland (past),Conifer-Hardwood (present),2209.566
Tallgrass Prairie,Shrubland (past),Developed (present),40222.182
Tallgrass Prairie,Shrubland (past),Exotics (present),25769.76
Tallgrass Prairie,Shrubland (past),Grassland (present),13618.812
Tallgrass Prairie,Shrubland (past),Hardwood (present),39677.838
Tallgrass Prairie,Shrubland (past),Riparian (present),22408.014
Tallgrass Prairie,Shrubland (past),Shrubland (present),64.158
Great Basin,Conifer (past),Agricultural (present),51411.426
Great Basin,Conifer (past),Conifer (present),8420269.524
Great Basin,Conifer (past),Conifer-Hardwood (present),122941.158
Great Basin,Conifer (past),Developed (present),120378.612
Great Basin,Conifer (past),Exotics (present),283052.22
Great Basin,Conifer (past),Grassland (present),267223.62
Great Basin,Conifer (past),Hardwood (present),148510.23
Great Basin,Conifer (past),Riparian (present),130057.812
Great Basin,Conifer (past),Shrubland (present),2757922.65
Great Basin,Grassland (past),Agricultural (present),53062.662
Great Basin,Grassland (past),Conifer (present),39368.814
Great Basin,Grassland (past),Conifer-Hardwood (present),861.138
Great Basin,Grassland (past),Developed (present),28273.476
Great Basin,Grassland (past),Exotics (present),61755.516
Great Basin,Grassland (past),Grassland (present),49266.906
Great Basin,Grassland (past),Hardwood (present),11252.736
Great Basin,Grassland (past),Riparian (present),11127.972
Great Basin,Grassland (past),Shrubland (present),811810.266
Great Basin,Hardwood (past),Agricultural (present),27565.74
Great Basin,Hardwood (past),Conifer (present),570757.782
Great Basin,Hardwood (past),Conifer-Hardwood (present),181796.244
Great Basin,Hardwood (past),Developed (present),27676.962
Great Basin,Hardwood (past),Exotics (present),56709.234
Great Basin,Hardwood (past),Grassland (present),157742.1
Great Basin,Hardwood (past),Hardwood (present),834631.2
Great Basin,Hardwood (past),Riparian (present),16032.618
Great Basin,Hardwood (past),Shrubland (present),916276.14
Great Basin,Hardwood-Conifer (past),Agricultural (present),344.544
Great Basin,Hardwood-Conifer (past),Conifer (present),550462.32
Great Basin,Hardwood-Conifer (past),Conifer-Hardwood (present),259169.016
Great Basin,Hardwood-Conifer (past),Developed (present),8843.592
Great Basin,Hardwood-Conifer (past),Exotics (present),9143.958
Great Basin,Hardwood-Conifer (past),Grassland (present),70600.218
Great Basin,Hardwood-Conifer (past),Hardwood (present),415360.002
Great Basin,Hardwood-Conifer (past),Riparian (present),5672.322
Great Basin,Hardwood-Conifer (past),Shrubland (present),176554.158
Great Basin,Riparian (past),Agricultural (present),1644367.542
Great Basin,Riparian (past),Conifer (present),595553.406
Great Basin,Riparian (past),Conifer-Hardwood (present),22349.406
Great Basin,Riparian (past),Developed (present),326021.652
Great Basin,Riparian (past),Exotics (present),431674.56
Great Basin,Riparian (past),Grassland (present),92633.94
Great Basin,Riparian (past),Hardwood (present),68860.626
Great Basin,Riparian (past),Riparian (present),846525.516
Great Basin,Riparian (past),Shrubland (present),837836.658
Great Basin,Shrubland (past),Agricultural (present),4837271.442
Great Basin,Shrubland (past),Conifer (present),8703792.384
Great Basin,Shrubland (past),Conifer-Hardwood (present),55313.076
Great Basin,Shrubland (past),Developed (present),1656778.896
Great Basin,Shrubland (past),Exotics (present),13281979.61
Great Basin,Shrubland (past),Grassland (present),2953830.546
Great Basin,Shrubland (past),Hardwood (present),244033.944
Great Basin,Shrubland (past),Riparian (present),1322973.702
Great Basin,Shrubland (past),Shrubland (present),69914929.31
